info: () => {
  return format(new Date(), "yyyy-MM-dd HH:mm:ss:SSS");
} | 36ca5a40-b854-462c-b84f-a74ee0ac01dc | studentsController | getStudent | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:210 | 91432a9c-856a-4cc2-88b0-dd6621c56b0b | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:239 | 91432a9c-856a-4cc2-88b0-dd6621c56b0b | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:901 | 9d2370e2-938e-431c-9f66-32a4df2ae5aa | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:903 | 9d2370e2-938e-431c-9f66-32a4df2ae5aa | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:904 | 9d2370e2-938e-431c-9f66-32a4df2ae5aa | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:909 | 9d2370e2-938e-431c-9f66-32a4df2ae5aa | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:58:936 | 9d2370e2-938e-431c-9f66-32a4df2ae5aa | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:31:59:513 | fd0fa7f0-2ee0-4914-9fad-4f28fe259cec | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:59:515 | fd0fa7f0-2ee0-4914-9fad-4f28fe259cec | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:59:516 | fd0fa7f0-2ee0-4914-9fad-4f28fe259cec | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:59:522 | fd0fa7f0-2ee0-4914-9fad-4f28fe259cec | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:31:59:555 | fd0fa7f0-2ee0-4914-9fad-4f28fe259cec | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:067 | ed11f826-8119-40c6-b7cd-22002ad8eb27 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:069 | ed11f826-8119-40c6-b7cd-22002ad8eb27 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:070 | ed11f826-8119-40c6-b7cd-22002ad8eb27 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:075 | ed11f826-8119-40c6-b7cd-22002ad8eb27 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:103 | ed11f826-8119-40c6-b7cd-22002ad8eb27 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:569 | f9a1c050-16de-45c0-baae-e4f7e5b81a41 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:571 | f9a1c050-16de-45c0-baae-e4f7e5b81a41 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:572 | f9a1c050-16de-45c0-baae-e4f7e5b81a41 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:576 | f9a1c050-16de-45c0-baae-e4f7e5b81a41 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:00:604 | f9a1c050-16de-45c0-baae-e4f7e5b81a41 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:004 | d7b951d7-e332-4d6a-850c-429b8e606999 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:006 | d7b951d7-e332-4d6a-850c-429b8e606999 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:007 | d7b951d7-e332-4d6a-850c-429b8e606999 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:010 | d7b951d7-e332-4d6a-850c-429b8e606999 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:041 | d7b951d7-e332-4d6a-850c-429b8e606999 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:530 | e72cb0ab-2bb8-45ae-9b85-2d439b7404c0 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:531 | e72cb0ab-2bb8-45ae-9b85-2d439b7404c0 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:532 | e72cb0ab-2bb8-45ae-9b85-2d439b7404c0 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:536 | e72cb0ab-2bb8-45ae-9b85-2d439b7404c0 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:566 | e72cb0ab-2bb8-45ae-9b85-2d439b7404c0 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:997 | 4a9970b6-1082-457f-8f12-f50aaca4a8b9 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:998 | 4a9970b6-1082-457f-8f12-f50aaca4a8b9 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:01:999 | 4a9970b6-1082-457f-8f12-f50aaca4a8b9 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:003 | 4a9970b6-1082-457f-8f12-f50aaca4a8b9 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:036 | 4a9970b6-1082-457f-8f12-f50aaca4a8b9 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:526 | f6955c9a-e761-484f-989a-f9c025a0bd0d | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:528 | f6955c9a-e761-484f-989a-f9c025a0bd0d | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:529 | f6955c9a-e761-484f-989a-f9c025a0bd0d | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:533 | f6955c9a-e761-484f-989a-f9c025a0bd0d | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:566 | f6955c9a-e761-484f-989a-f9c025a0bd0d | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:967 | f85a3dfb-7284-4992-bf7d-a74f67c2c4f2 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:968 | f85a3dfb-7284-4992-bf7d-a74f67c2c4f2 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:969 | f85a3dfb-7284-4992-bf7d-a74f67c2c4f2 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:02:973 | f85a3dfb-7284-4992-bf7d-a74f67c2c4f2 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:000 | f85a3dfb-7284-4992-bf7d-a74f67c2c4f2 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:434 | c0b7150a-b0ef-4be6-8fe0-4f1645f7953f | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:436 | c0b7150a-b0ef-4be6-8fe0-4f1645f7953f | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:437 | c0b7150a-b0ef-4be6-8fe0-4f1645f7953f | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:442 | c0b7150a-b0ef-4be6-8fe0-4f1645f7953f | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:483 | c0b7150a-b0ef-4be6-8fe0-4f1645f7953f | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:887 | eb6ac614-d977-43c1-b446-ab46b74548a1 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:889 | eb6ac614-d977-43c1-b446-ab46b74548a1 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:890 | eb6ac614-d977-43c1-b446-ab46b74548a1 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:893 | eb6ac614-d977-43c1-b446-ab46b74548a1 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:03:923 | eb6ac614-d977-43c1-b446-ab46b74548a1 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:04:451 | 12c8e46a-7501-4cfb-bc23-0a6bd8220945 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:04:453 | 12c8e46a-7501-4cfb-bc23-0a6bd8220945 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:04:454 | 12c8e46a-7501-4cfb-bc23-0a6bd8220945 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:04:458 | 12c8e46a-7501-4cfb-bc23-0a6bd8220945 | studentsService | generatePdfSync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:04:485 | 12c8e46a-7501-4cfb-bc23-0a6bd8220945 | studentsService | generatePdfSync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:08:508 | 3610bb75-9467-47a4-851a-2d6819b2444d | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:08:509 | 3610bb75-9467-47a4-851a-2d6819b2444d | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:08:510 | 3610bb75-9467-47a4-851a-2d6819b2444d | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:08:514 | 3610bb75-9467-47a4-851a-2d6819b2444d | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:08:548 | 3610bb75-9467-47a4-851a-2d6819b2444d | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:123 | e486ee8c-2ae2-40ac-a185-6e19da7bcbe9 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:125 | e486ee8c-2ae2-40ac-a185-6e19da7bcbe9 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:126 | e486ee8c-2ae2-40ac-a185-6e19da7bcbe9 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:130 | e486ee8c-2ae2-40ac-a185-6e19da7bcbe9 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:158 | e486ee8c-2ae2-40ac-a185-6e19da7bcbe9 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:772 | 5d85fd7e-f061-4eec-80ec-34fb5ab8eb5a | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:773 | 5d85fd7e-f061-4eec-80ec-34fb5ab8eb5a | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:774 | 5d85fd7e-f061-4eec-80ec-34fb5ab8eb5a | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:778 | 5d85fd7e-f061-4eec-80ec-34fb5ab8eb5a | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:09:806 | 5d85fd7e-f061-4eec-80ec-34fb5ab8eb5a | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:339 | e52f3fdd-77c2-42a0-b7e4-162faa8ebeae | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:341 | e52f3fdd-77c2-42a0-b7e4-162faa8ebeae | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:341 | e52f3fdd-77c2-42a0-b7e4-162faa8ebeae | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:345 | e52f3fdd-77c2-42a0-b7e4-162faa8ebeae | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:373 | e52f3fdd-77c2-42a0-b7e4-162faa8ebeae | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:882 | 80d698f3-b26c-45e3-817b-9fa341926c95 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:884 | 80d698f3-b26c-45e3-817b-9fa341926c95 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:884 | 80d698f3-b26c-45e3-817b-9fa341926c95 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:889 | 80d698f3-b26c-45e3-817b-9fa341926c95 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:10:917 | 80d698f3-b26c-45e3-817b-9fa341926c95 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:504 | 37f54ee5-874e-45bc-8fd5-2127bf61c954 | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:506 | 37f54ee5-874e-45bc-8fd5-2127bf61c954 | studentsService | generateIds | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:507 | 37f54ee5-874e-45bc-8fd5-2127bf61c954 | studentsService | getStudentDetails | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:512 | 37f54ee5-874e-45bc-8fd5-2127bf61c954 | studentsService | generatePdfAsync | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:548 | 37f54ee5-874e-45bc-8fd5-2127bf61c954 | studentsService | generatePdfAsync | {"message":"Pdf Generated Successfully"} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:950 | ae0ff1be-d3d1-4405-90de-5c2d0a8adc5a | studentsController | generateIdCards | {} {"service":"atul-assigment"}
info: 2024-03-10 08:32:11:951 | ae0ff1be-d3d1-4405-90de-5c2d0a8adc5a | studentsService | generateIds | {} {"service":"atul-assigment"}
