2024-03-10 08:31:48:249 | 2c0d2c51-e188-4df6-ab19-441a345aade6 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 56.666 ms | 157
2024-03-10 08:31:49:889 | 2113320e-26d0-48f6-b7fc-404d3beaf191 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 41.472 ms | 157
2024-03-10 08:31:50:504 | 8a66b27f-6173-4e25-8a7f-e38b6436c9ae | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 48.181 ms | 157
2024-03-10 08:31:51:124 | e537a0de-7af5-44e0-9076-1c345648bc62 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 37.552 ms | 157
2024-03-10 08:31:51:997 | 94ae3386-78b8-4a99-bf4a-bbdc4d0fb8dc | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 39.644 ms | 157
2024-03-10 08:31:52:594 | 42754a65-91d4-4549-9b84-2cb7460ee1a7 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 40.645 ms | 157
2024-03-10 08:31:53:134 | d3af42db-31ef-40d9-806c-1ab2fa0a0e45 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 38.800 ms | 157
2024-03-10 08:31:53:568 | 78694fa7-be73-496f-8c7a-08cebbd2b36a | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 53.016 ms | 157
2024-03-10 08:31:54:132 | 63b3cbfb-d81c-4a37-a4ac-f59a5c28dc5a | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 38.763 ms | 157
2024-03-10 08:31:54:652 | bd932630-4a88-471d-abf0-38dca90090f6 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 36.950 ms | 157
2024-03-10 08:31:57:640 | 10de101b-a203-4221-a5d6-fb10445772d4 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 39.243 ms | 157
2024-03-10 08:31:58:240 | 91432a9c-856a-4cc2-88b0-dd6621c56b0b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 35.677 ms | 157
2024-03-10 08:31:58:937 | 9d2370e2-938e-431c-9f66-32a4df2ae5aa | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 35.396 ms | 157
2024-03-10 08:31:59:557 | fd0fa7f0-2ee0-4914-9fad-4f28fe259cec | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 43.633 ms | 157
2024-03-10 08:32:00:105 | ed11f826-8119-40c6-b7cd-22002ad8eb27 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 37.076 ms | 157
2024-03-10 08:32:00:606 | f9a1c050-16de-45c0-baae-e4f7e5b81a41 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 36.232 ms | 157
2024-03-10 08:32:01:043 | d7b951d7-e332-4d6a-850c-429b8e606999 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 38.231 ms | 157
2024-03-10 08:32:01:568 | e72cb0ab-2bb8-45ae-9b85-2d439b7404c0 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 38.000 ms | 157
2024-03-10 08:32:02:038 | 4a9970b6-1082-457f-8f12-f50aaca4a8b9 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 40.393 ms | 157
2024-03-10 08:32:02:568 | f6955c9a-e761-484f-989a-f9c025a0bd0d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 41.214 ms | 157
2024-03-10 08:32:03:001 | f85a3dfb-7284-4992-bf7d-a74f67c2c4f2 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 34.299 ms | 157
2024-03-10 08:32:03:484 | c0b7150a-b0ef-4be6-8fe0-4f1645f7953f | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 49.662 ms | 157
2024-03-10 08:32:03:924 | eb6ac614-d977-43c1-b446-ab46b74548a1 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 36.332 ms | 157
2024-03-10 08:32:04:487 | 12c8e46a-7501-4cfb-bc23-0a6bd8220945 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 35.114 ms | 157
2024-03-10 08:32:08:550 | 3610bb75-9467-47a4-851a-2d6819b2444d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 41.304 ms | 157
2024-03-10 08:32:09:160 | e486ee8c-2ae2-40ac-a185-6e19da7bcbe9 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 36.001 ms | 157
2024-03-10 08:32:09:807 | 5d85fd7e-f061-4eec-80ec-34fb5ab8eb5a | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 35.193 ms | 157
2024-03-10 08:32:10:374 | e52f3fdd-77c2-42a0-b7e4-162faa8ebeae | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 34.837 ms | 157
2024-03-10 08:32:10:919 | 80d698f3-b26c-45e3-817b-9fa341926c95 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 36.396 ms | 157
2024-03-10 08:32:11:550 | 37f54ee5-874e-45bc-8fd5-2127bf61c954 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 45.531 ms | 157
2024-03-10 08:32:11:984 | ae0ff1be-d3d1-4405-90de-5c2d0a8adc5a | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 33.504 ms | 157
2024-03-10 08:32:12:298 | b3a55d74-1530-443a-b5f8-9f3d0ce21879 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 34.952 ms | 157
2024-03-10 08:32:12:636 | 27164c3e-4cee-492d-b8a0-74552ae218e0 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 35.455 ms | 157
2024-03-10 08:32:12:962 | 0f8acf56-a2ea-48e1-a8e5-f2381c0719a0 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 34.901 ms | 157
2024-03-10 08:32:13:543 | 095354cf-1a7b-49cf-97d0-2315a42db6fe | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 36.261 ms | 157
2024-03-10 08:33:35:626 | 21bf22f2-426d-44bd-9f71-7ad89c769200 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 400 | - | {"success":false,"message":"Cannot destructure property 'statusCode' of '(intermediate value)' as it is undefined."} | 4105.926 ms | 116
2024-03-10 08:34:19:208 | 353b6ebe-1bee-4dcc-9e4b-63b7a4b90d7b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 2794.946 ms | 157
